sub_id,task,is_practice,block,trial,target_01,target_02,task_relevance,category,orientation,identity,duration,stim_jit,SOA,onset_SOA,SOA_lock,pitch
SX106,introspection,0,4,38,letter_15,false_font_08,irrelevant,object,left,object_19,1.5,1.53016570259424,0.466,1.966,offset,1000
SX106,introspection,0,4,39,letter_15,false_font_08,non-target,letter,center,letter_11,1.5,1.50049846466878,0,0,onset,1100
SX106,introspection,0,5,1,face_10,object_07,non-target,object,center,object_01,0.5,0.848645427539379,0.466,0.466,onset,1100
SX106,introspection,0,5,2,face_10,object_07,irrelevant,letter,right,letter_13,1.5,0.716028521411081,0,0,onset,1100
SX106,introspection,0,5,3,face_10,object_07,non-target,object,right,object_18,1.5,1.06480806377297,0.232,1.732,offset,1000
SX106,introspection,0,5,4,face_10,object_07,non-target,face,center,face_09,1.5,0.808026792270251,0,0,onset,1000
SX106,introspection,0,5,5,face_10,object_07,irrelevant,letter,left,letter_02,1.5,1.37778899961362,0,1.5,offset,1100
SX106,introspection,0,5,6,face_10,object_07,irrelevant,letter,right,letter_15,1,0.968478134326618,0,1,offset,1100
SX106,introspection,0,5,7,face_10,object_07,target,face,center,face_10,1,0.923671257751252,0,1,offset,1100
SX106,introspection,0,5,8,face_10,object_07,irrelevant,false_font,right,false_font_05,1.5,1.48659715020425,0.232,0.232,onset,1100
SX106,introspection,0,5,9,face_10,object_07,irrelevant,false_font,center,false_font_18,1,1.66030045478571,0.466,1.466,offset,1000
SX106,introspection,0,5,10,face_10,object_07,irrelevant,letter,right,letter_05,1,0.93149385778968,0.232,1.232,offset,1100
SX106,introspection,0,5,11,face_10,object_07,non-target,object,left,object_11,1.5,1.72301028325488,0,1.5,offset,1000
SX106,introspection,0,5,12,face_10,object_07,irrelevant,false_font,left,false_font_13,1,1.47554529896741,0.232,1.232,offset,1100
SX106,introspection,0,5,13,face_10,object_07,irrelevant,letter,right,letter_03,1.5,1.05413135582774,0.232,0.232,onset,1100
SX106,introspection,0,5,14,face_10,object_07,irrelevant,false_font,right,false_font_01,1.5,1.7503745910053,0.232,1.732,offset,1000
SX106,introspection,0,5,15,face_10,object_07,target,face,right,face_10,1.5,1.91531949912222,0.466,0.466,onset,1100
SX106,introspection,0,5,16,face_10,object_07,non-target,face,right,face_04,1,0.907013589334961,0,1,offset,1000
