block,target_1,target_2,category,orientation,identity,duration,stim_jit
14,face_01,object_10,false_font,center,false_font_12,1.49333333333333,0.253333333333333
14,face_01,object_10,face,center,face_03,1,0.426666666666667
14,face_01,object_10,face,left,face_17,1.49333333333333,0.72
14,face_01,object_10,face,left,face_04,0.506666666666667,0.493333333333333
14,face_01,object_10,face,right,face_01,1,0.306666666666667
14,face_01,object_10,object,left,object_03,1,0.28
14,face_01,object_10,false_font,center,false_font_02,1,0.293333333333333
14,face_01,object_10,false_font,center,false_font_09,1.49333333333333,0.733333333333333
14,face_01,object_10,object,left,object_20,0.506666666666667,0.293333333333333
14,face_01,object_10,letter,center,letter_20,1.49333333333333,0.373333333333333
14,face_01,object_10,false_font,center,false_font_01,1,0.533333333333333
14,face_01,object_10,face,right,face_01,1.49333333333333,0.613333333333333
14,face_01,object_10,letter,left,letter_16,1.49333333333333,0.28
14,face_01,object_10,letter,center,letter_07,1,0.426666666666667
14,face_01,object_10,object,right,object_14,0.506666666666667,0.24
14,face_01,object_10,letter,right,letter_05,0.506666666666667,0.666666666666667
14,face_01,object_10,false_font,left,false_font_10,0.506666666666667,0.293333333333333
14,face_01,object_10,letter,center,letter_02,1,0.586666666666667
14,face_01,object_10,letter,center,letter_16,0.506666666666667,0.333333333333333
14,face_01,object_10,letter,left,letter_06,1,0.253333333333333
14,face_01,object_10,face,left,face_10,0.506666666666667,0.213333333333333
14,face_01,object_10,object,center,object_01,1,0.28
14,face_01,object_10,face,center,face_09,1,0.546666666666667
14,face_01,object_10,false_font,center,false_font_15,1,0.426666666666667
14,face_01,object_10,object,center,object_08,1.49333333333333,0.32
14,face_01,object_10,object,right,object_10,1,0.24
15,letter_15,false_font_17,false_font,center,false_font_17,1.49333333333333,0.32
15,letter_15,false_font_17,letter,center,letter_02,1.49333333333333,0.213333333333333
15,letter_15,false_font_17,face,center,face_16,1.49333333333333,0.28
15,letter_15,false_font_17,false_font,left,false_font_08,1.49333333333333,0.213333333333333
15,letter_15,false_font_17,false_font,right,false_font_19,1,0.226666666666667
15,letter_15,false_font_17,object,left,object_01,0.506666666666667,0.426666666666667
15,letter_15,false_font_17,face,center,face_05,1.49333333333333,0.626666666666667
15,letter_15,false_font_17,letter,right,letter_08,1.49333333333333,0.28
15,letter_15,false_font_17,false_font,right,false_font_04,0.506666666666667,0.333333333333333
15,letter_15,false_font_17,face,center,face_19,1,0.213333333333333
15,letter_15,false_font_17,object,left,object_19,0.506666666666667,0.2
15,letter_15,false_font_17,face,left,face_19,1.49333333333333,0.493333333333333
15,letter_15,false_font_17,false_font,left,false_font_15,1.49333333333333,0.44
15,letter_15,false_font_17,letter,center,letter_03,1.49333333333333,0.386666666666667
15,letter_15,false_font_17,object,center,object_08,0.506666666666667,0.546666666666667
15,letter_15,false_font_17,face,center,face_05,1.49333333333333,0.413333333333333
15,letter_15,false_font_17,object,center,object_16,1.49333333333333,0.373333333333333
15,letter_15,false_font_17,false_font,center,false_font_14,0.506666666666667,0.32
15,letter_15,false_font_17,false_font,center,false_font_17,0.506666666666667,0.32
15,letter_15,false_font_17,face,center,face_09,1.49333333333333,0.933333333333333
15,letter_15,false_font_17,letter,right,letter_03,1,0.333333333333333
15,letter_15,false_font_17,object,center,object_13,1.49333333333333,0.333333333333333
15,letter_15,false_font_17,letter,left,letter_10,1.49333333333333,0.24
15,letter_15,false_font_17,object,center,object_13,1.49333333333333,0.32
15,letter_15,false_font_17,object,center,object_09,1.49333333333333,0.773333333333333
15,letter_15,false_font_17,letter,center,letter_19,1.49333333333333,0.293333333333333
15,letter_15,false_font_17,letter,right,letter_15,0.506666666666667,0.32
15,letter_15,false_font_17,object,center,object_05,0.506666666666667,0.546666666666667
15,letter_15,false_font_17,letter,right,letter_16,1.49333333333333,0.24
15,letter_15,false_font_17,letter,center,letter_01,1.49333333333333,0.786666666666667
15,letter_15,false_font_17,false_font,center,false_font_17,0.506666666666667,0.426666666666667
15,letter_15,false_font_17,face,center,face_12,0.506666666666667,0.4
15,letter_15,false_font_17,false_font,center,false_font_08,1,0.226666666666667
15,letter_15,false_font_17,face,center,face_06,1.49333333333333,0.64
15,letter_15,false_font_17,false_font,left,false_font_18,1.49333333333333,0.413333333333333
15,letter_15,false_font_17,false_font,right,false_font_16,1,0.346666666666667
16,letter_18,false_font_20,false_font,right,false_font_08,0.506666666666667,1.49333333333333
16,letter_18,false_font_20,false_font,right,false_font_20,1,1.08
16,letter_18,false_font_20,object,center,object_09,1.49333333333333,0.32
16,letter_18,false_font_20,letter,center,letter_03,1,0.746666666666667
16,letter_18,false_font_20,object,right,object_15,0.506666666666667,0.573333333333333
16,letter_18,false_font_20,letter,center,letter_20,1,0.453333333333333
16,letter_18,false_font_20,letter,left,letter_01,1.49333333333333,0.613333333333333
16,letter_18,false_font_20,object,center,object_08,1.49333333333333,0.426666666666667
16,letter_18,false_font_20,face,center,face_03,1,0.226666666666667
16,letter_18,false_font_20,face,center,face_18,1.49333333333333,0.493333333333333
16,letter_18,false_font_20,letter,left,letter_02,1.49333333333333,0.306666666666667
16,letter_18,false_font_20,object,center,object_15,0.506666666666667,0.333333333333333
16,letter_18,false_font_20,face,left,face_18,1.49333333333333,1.4
16,letter_18,false_font_20,object,left,object_17,1.49333333333333,0.213333333333333
16,letter_18,false_font_20,false_font,right,false_font_04,1,0.306666666666667
16,letter_18,false_font_20,false_font,right,false_font_11,0.506666666666667,0.24
16,letter_18,false_font_20,letter,center,letter_03,1.49333333333333,0.28
16,letter_18,false_font_20,object,right,object_09,1.49333333333333,0.213333333333333
16,letter_18,false_font_20,false_font,right,false_font_18,0.506666666666667,0.573333333333333
16,letter_18,false_font_20,object,center,object_13,1,0.413333333333333
16,letter_18,false_font_20,false_font,center,false_font_09,1,0.306666666666667
16,letter_18,false_font_20,letter,center,letter_16,1.49333333333333,0.24
16,letter_18,false_font_20,false_font,center,false_font_18,1.49333333333333,0.826666666666667
16,letter_18,false_font_20,face,left,face_19,1.49333333333333,0.28
16,letter_18,false_font_20,letter,right,letter_14,1.49333333333333,0.426666666666667
16,letter_18,false_font_20,letter,center,letter_18,1.49333333333333,0.226666666666667
16,letter_18,false_font_20,false_font,center,false_font_05,0.506666666666667,0.426666666666667
16,letter_18,false_font_20,false_font,center,false_font_20,1,0.426666666666667
16,letter_18,false_font_20,face,center,face_19,1.49333333333333,0.48
16,letter_18,false_font_20,letter,left,letter_07,0.506666666666667,0.2
16,letter_18,false_font_20,face,right,face_02,1,0.2
16,letter_18,false_font_20,face,left,face_17,1.49333333333333,0.213333333333333
16,letter_18,false_font_20,face,center,face_03,1.49333333333333,0.493333333333333
16,letter_18,false_font_20,false_font,center,false_font_19,1.49333333333333,0.2
16,letter_18,false_font_20,object,left,object_01,1,0.32
17,letter_20,false_font_07,object,center,object_04,1,0.333333333333333
17,letter_20,false_font_07,false_font,left,false_font_17,1.49333333333333,0.426666666666667
17,letter_20,false_font_07,face,center,face_11,0.506666666666667,0.413333333333333
17,letter_20,false_font_07,false_font,left,false_font_06,0.506666666666667,0.293333333333333
17,letter_20,false_font_07,letter,center,letter_12,1,0.586666666666667
17,letter_20,false_font_07,false_font,center,false_font_07,1,1.13333333333333
17,letter_20,false_font_07,face,right,face_13,0.506666666666667,0.36
17,letter_20,false_font_07,face,center,face_04,1.49333333333333,0.653333333333333
17,letter_20,false_font_07,false_font,center,false_font_16,0.506666666666667,0.24
17,letter_20,false_font_07,face,right,face_14,1,0.213333333333333
17,letter_20,false_font_07,object,left,object_04,0.506666666666667,0.226666666666667
17,letter_20,false_font_07,false_font,center,false_font_01,0.506666666666667,0.386666666666667
17,letter_20,false_font_07,letter,center,letter_01,1.49333333333333,0.333333333333333
17,letter_20,false_font_07,false_font,center,false_font_03,1.49333333333333,0.253333333333333
17,letter_20,false_font_07,letter,right,letter_10,0.506666666666667,0.293333333333333
17,letter_20,false_font_07,letter,center,letter_04,1.49333333333333,0.306666666666667
17,letter_20,false_font_07,letter,right,letter_20,1.49333333333333,0.626666666666667
17,letter_20,false_font_07,letter,right,letter_17,0.506666666666667,0.293333333333333
17,letter_20,false_font_07,letter,left,letter_08,0.506666666666667,0.72
17,letter_20,false_font_07,face,center,face_10,0.506666666666667,0.493333333333333
17,letter_20,false_font_07,false_font,center,false_font_01,0.506666666666667,0.4
17,letter_20,false_font_07,object,center,object_01,1.49333333333333,0.266666666666667
17,letter_20,false_font_07,letter,center,letter_12,1,0.986666666666667
17,letter_20,false_font_07,object,left,object_14,1.49333333333333,0.32
17,letter_20,false_font_07,face,center,face_05,1.49333333333333,0.266666666666667
17,letter_20,false_font_07,false_font,center,false_font_07,1,0.32
17,letter_20,false_font_07,object,center,object_09,0.506666666666667,0.426666666666667
17,letter_20,false_font_07,letter,right,letter_07,1,0.88
17,letter_20,false_font_07,face,center,face_15,1,0.32
17,letter_20,false_font_07,object,left,object_13,1.49333333333333,0.48
17,letter_20,false_font_07,face,left,face_11,1.49333333333333,0.44
17,letter_20,false_font_07,false_font,right,false_font_15,0.506666666666667,0.28
17,letter_20,false_font_07,false_font,center,false_font_01,0.506666666666667,0.293333333333333
17,letter_20,false_font_07,letter,left,letter_20,1,0.306666666666667
17,letter_20,false_font_07,object,center,object_06,0.506666666666667,0.466666666666667
17,letter_20,false_font_07,letter,left,letter_20,1,0.413333333333333
17,letter_20,false_font_07,object,center,object_04,1,0.386666666666667
18,letter_12,false_font_10,letter,right,letter_06,1,0.693333333333333
18,letter_12,false_font_10,object,center,object_11,1,0.586666666666667
18,letter_12,false_font_10,false_font,left,false_font_11,1.49333333333333,0.533333333333333
18,letter_12,false_font_10,letter,center,letter_05,1.49333333333333,0.28
18,letter_12,false_font_10,face,right,face_14,1,0.36
18,letter_12,false_font_10,face,center,face_04,0.506666666666667,0.24
18,letter_12,false_font_10,false_font,left,false_font_03,1.49333333333333,0.386666666666667
18,letter_12,false_font_10,false_font,left,false_font_07,1.49333333333333,0.373333333333333
18,letter_12,false_font_10,object,center,object_20,0.506666666666667,0.333333333333333
18,letter_12,false_font_10,face,right,face_05,0.506666666666667,0.48
18,letter_12,false_font_10,face,right,face_06,0.506666666666667,0.386666666666667
18,letter_12,false_font_10,letter,left,letter_12,1.49333333333333,0.813333333333333
18,letter_12,false_font_10,letter,left,letter_13,1.49333333333333,0.653333333333333
18,letter_12,false_font_10,false_font,left,false_font_11,0.506666666666667,0.213333333333333
18,letter_12,false_font_10,false_font,right,false_font_12,1.49333333333333,0.533333333333333
18,letter_12,false_font_10,letter,center,letter_16,1.49333333333333,0.24
18,letter_12,false_font_10,object,center,object_13,1,0.24
18,letter_12,false_font_10,false_font,right,false_font_05,1,0.52
18,letter_12,false_font_10,letter,center,letter_02,0.506666666666667,0.533333333333333
18,letter_12,false_font_10,object,right,object_04,0.506666666666667,0.893333333333333
18,letter_12,false_font_10,false_font,center,false_font_15,0.506666666666667,0.213333333333333
18,letter_12,false_font_10,object,left,object_14,1,0.253333333333333
18,letter_12,false_font_10,face,right,face_11,0.506666666666667,0.306666666666667
18,letter_12,false_font_10,object,right,object_18,1,0.28
18,letter_12,false_font_10,face,right,face_15,1.49333333333333,0.253333333333333
18,letter_12,false_font_10,object,center,object_16,1.49333333333333,0.213333333333333
18,letter_12,false_font_10,letter,center,letter_12,1.49333333333333,0.226666666666667
18,letter_12,false_font_10,face,right,face_20,1.49333333333333,0.293333333333333
18,letter_12,false_font_10,face,left,face_03,1.49333333333333,0.28
18,letter_12,false_font_10,false_font,left,false_font_10,0.506666666666667,1.17333333333333
18,letter_12,false_font_10,letter,right,letter_16,1.49333333333333,0.32
18,letter_12,false_font_10,object,left,object_01,1.49333333333333,0.453333333333333
18,letter_12,false_font_10,letter,center,letter_19,0.506666666666667,0.386666666666667
18,letter_12,false_font_10,false_font,center,false_font_02,0.506666666666667,0.266666666666667
18,letter_12,false_font_10,letter,center,letter_06,0.506666666666667,0.213333333333333
19,face_06,object_07,face,left,face_05,0.506666666666667,0.373333333333333
19,face_06,object_07,letter,left,letter_15,1.49333333333333,0.333333333333333
19,face_06,object_07,letter,left,letter_04,1,0.36
19,face_06,object_07,object,left,object_13,0.506666666666667,0.32
19,face_06,object_07,object,left,object_07,1,0.613333333333333
19,face_06,object_07,false_font,center,false_font_15,0.506666666666667,0.28
19,face_06,object_07,object,left,object_04,1,0.48
19,face_06,object_07,letter,right,letter_09,0.506666666666667,0.813333333333333
19,face_06,object_07,object,left,object_17,1.49333333333333,0.44
19,face_06,object_07,face,center,face_17,1.49333333333333,0.28
19,face_06,object_07,false_font,left,false_font_11,1.49333333333333,0.226666666666667
19,face_06,object_07,object,center,object_07,0.506666666666667,0.306666666666667
19,face_06,object_07,face,right,face_02,0.506666666666667,0.226666666666667
19,face_06,object_07,false_font,center,false_font_01,1,0.493333333333333
19,face_06,object_07,false_font,center,false_font_03,0.506666666666667,0.52
19,face_06,object_07,object,center,object_01,1,0.306666666666667
19,face_06,object_07,object,left,object_03,1.49333333333333,0.346666666666667
19,face_06,object_07,letter,center,letter_18,1,0.373333333333333
19,face_06,object_07,face,center,face_08,1.49333333333333,0.32
19,face_06,object_07,face,center,face_19,0.506666666666667,0.266666666666667
19,face_06,object_07,letter,right,letter_04,0.506666666666667,0.253333333333333
19,face_06,object_07,letter,left,letter_20,1.49333333333333,0.213333333333333
19,face_06,object_07,letter,left,letter_08,0.506666666666667,0.306666666666667
19,face_06,object_07,face,center,face_07,1.49333333333333,0.28
19,face_06,object_07,false_font,center,false_font_10,1,0.226666666666667
19,face_06,object_07,false_font,left,false_font_04,1,0.306666666666667
19,face_06,object_07,letter,left,letter_12,1,0.613333333333333
19,face_06,object_07,face,right,face_12,1.49333333333333,0.4
19,face_06,object_07,object,center,object_19,0.506666666666667,0.48
19,face_06,object_07,face,center,face_06,0.506666666666667,0.293333333333333
19,face_06,object_07,false_font,center,false_font_10,1.49333333333333,0.413333333333333
19,face_06,object_07,face,right,face_10,1.49333333333333,0.213333333333333
19,face_06,object_07,object,center,object_20,1.49333333333333,0.56
19,face_06,object_07,object,center,object_08,1.49333333333333,0.213333333333333
19,face_06,object_07,face,left,face_06,0.506666666666667,0.413333333333333
19,face_06,object_07,false_font,left,false_font_07,1,0.426666666666667
20,face_17,object_09,object,left,object_02,1,0.546666666666667
20,face_17,object_09,letter,center,letter_17,0.506666666666667,0.333333333333333
20,face_17,object_09,face,center,face_03,1.49333333333333,1.04
20,face_17,object_09,object,left,object_05,0.506666666666667,0.32
20,face_17,object_09,face,center,face_17,1,0.306666666666667
20,face_17,object_09,letter,right,letter_17,0.506666666666667,0.2
20,face_17,object_09,face,right,face_02,1,0.266666666666667
20,face_17,object_09,face,center,face_15,0.506666666666667,0.413333333333333
20,face_17,object_09,false_font,left,false_font_06,0.506666666666667,0.68
