task;is_practice;block;trial;target_01;target_02;task_relevance;category;orientation;identity;duration;stim_jit;SOA;SOA_lock;pitch;onset_SOA
prp;0;4;23;letter_03;false_font_10;irrelevant;face;right;face_20;1;0,837600693;0,232;onset;1000;0,232
prp;0;4;24;letter_03;false_font_10;non-target;false_font;center;false_font_16;0,5;0,745677817;0;offset;1100;0,5
prp;0;4;25;letter_03;false_font_10;non-target;letter;left;letter_12;0,5;0,995741058;0,466;offset;1000;0,966
prp;0;4;26;letter_03;false_font_10;non-target;false_font;right;false_font_01;0,5;1,075757862;0;offset;1000;0,5
prp;0;4;27;letter_03;false_font_10;target;letter;center;letter_03;1,5;1,439211279;0;offset;1;1,5
prp;0;4;28;letter_03;false_font_10;irrelevant;object;left;object_08;0,5;0,813376612;0,466;onset;1100;0,466
prp;0;4;29;letter_03;false_font_10;irrelevant;face;right;face_15;0,5;0,709972287;0;onset;1000;0
prp;0;4;30;letter_03;false_font_10;non-target;false_font;center;false_font_04;1,5;0,793469823;0,116;onset;1000;0,116
prp;0;4;31;letter_03;false_font_10;non-target;letter;right;letter_07;0,5;1,246639552;0;onset;1100;0
prp;0;4;32;letter_03;false_font_10;irrelevant;face;left;face_20;0,5;0,905094495;0,232;onset;1000;0,232
prp;0;4;33;letter_03;false_font_10;target;false_font;right;false_font_10;1;0,925947567;0;onset;1100;0
prp;0;4;34;letter_03;false_font_10;irrelevant;object;center;object_18;1,5;0,713286585;0,466;offset;1000;1,966
prp;0;4;35;letter_03;false_font_10;non-target;false_font;right;false_font_04;0,5;1,11390506;0,466;onset;1100;0,466
prp;0;5;1;letter_19;false_font_07;non-target;letter;left;letter_14;1;1,188790775;0,466;onset;1000;0,466
prp;0;5;2;letter_19;false_font_07;non-target;false_font;center;false_font_16;1,5;1,547125517;0,116;offset;1000;1,616
prp;0;5;3;letter_19;false_font_07;non-target;false_font;left;false_font_20;1,5;1,363654938;0,232;onset;1000;0,232
prp;0;5;4;letter_19;false_font_07;non-target;letter;center;letter_16;1,5;1,467522735;0,116;onset;1100;0,116
prp;0;5;5;letter_19;false_font_07;non-target;letter;left;letter_16;1,5;1,096505176;0;onset;1000;0
prp;0;5;6;letter_19;false_font_07;irrelevant;face;center;face_09;1,5;0,872310267;0,116;offset;1100;1,616
prp;0;5;7;letter_19;false_font_07;non-target;false_font;center;false_font_09;0,5;1,118241698;0,232;onset;1100;0,232
prp;0;5;8;letter_19;false_font_07;irrelevant;object;left;object_12;1;1,046821532;0;offset;1100;1
prp;0;5;9;letter_19;false_font_07;target;letter;center;letter_19;1,5;1,264941129;0,466;offset;1;1,966
prp;0;5;10;letter_19;false_font_07;irrelevant;object;center;object_02;1;0,86751624;0,466;onset;1100;0,466
prp;0;5;11;letter_19;false_font_07;target;letter;left;letter_19;1,5;1,530050736;0,466;offset;1100;1,966
prp;0;5;12;letter_19;false_font_07;non-target;false_font;center;false_font_11;0,5;1,413163619;0;onset;1100;0
prp;0;5;13;letter_19;false_font_07;irrelevant;object;left;object_11;1,5;0,8171998;0,232;onset;1000;0,232
prp;0;5;14;letter_19;false_font_07;non-target;letter;left;letter_16;0,5;1,048470379;0;onset;1100;0
prp;0;5;15;letter_19;false_font_07;non-target;letter;center;letter_12;1;1,787783131;0;onset;1100;0
prp;0;5;16;letter_19;false_font_07;irrelevant;object;center;object_02;1,5;1,920009359;0,116;offset;1000;1,616
prp;0;5;17;letter_19;false_font_07;non-target;false_font;center;false_font_06;1,5;0,923161166;0,116;onset;1100;0,116
prp;0;5;18;letter_19;false_font_07;target;false_font;left;false_font_07;1,5;1,251509513;0,266;offset;1100;1,766
prp;0;5;19;letter_19;false_font_07;irrelevant;face;left;face_13;1,5;0,7462081;0,116;offset;1100;1,616
prp;0;5;20;letter_19;false_font_07;irrelevant;face;center;face_11;1;0,840232829;0,466;onset;1100;0,466
prp;0;5;21;letter_19;false_font_07;irrelevant;object;right;object_20;1,5;1,702080228;0;onset;1000;0
prp;0;5;22;letter_19;false_font_07;irrelevant;object;left;object_13;1,5;1,022546219;0,232;offset;1000;1,732
prp;0;5;23;letter_19;false_font_07;non-target;letter;left;letter_04;1;1,138886801;0,232;offset;1000;1,232
prp;0;5;24;letter_19;false_font_07;irrelevant;face;right;face_01;1;1,806097093;0,232;offset;1000;1,232
prp;0;5;25;letter_19;false_font_07;irrelevant;face;left;face_04;1,5;1,22407421;0,466;offset;1100;1,966
prp;0;5;26;letter_19;false_font_07;irrelevant;face;center;face_17;1;1,157589468;0,466;onset;1000;0,466
prp;0;5;27;letter_19;false_font_07;irrelevant;object;center;object_13;1;1,434202578;0,466;offset;1100;1,466
prp;0;5;28;letter_19;false_font_07;non-target;letter;right;letter_15;0,5;0,929811271;0,116;onset;1100;0,116
prp;0;5;29;letter_19;false_font_07;non-target;letter;center;letter_01;0,5;0,702235646;0;offset;1000;0,5
prp;0;5;30;letter_19;false_font_07;target;letter;right;letter_19;0,5;0,842932975;0;offset;1;0,5
prp;0;5;31;letter_19;false_font_07;irrelevant;object;left;object_05;1;1,426579863;0,116;offset;1100;1,116
prp;0;5;32;letter_19;false_font_07;non-target;false_font;left;false_font_13;0,5;0,834086634;0,116;offset;1100;0,616
prp;0;5;33;letter_19;false_font_07;non-target;letter;left;letter_15;1;1,427430579;0,232;onset;1000;0,232
prp;0;5;34;letter_19;false_font_07;irrelevant;face;right;face_19;1,5;1,351970033;0,466;offset;1000;1,966
prp;0;5;35;letter_19;false_font_07;irrelevant;face;left;face_07;1,5;1,437947047;0,232;offset;1100;1,732
prp;0;5;36;letter_19;false_font_07;non-target;false_font;center;false_font_01;1;1,858748982;0,466;onset;1000;0,466
prp;0;6;1;letter_07;false_font_02;non-target;letter;center;letter_12;0,5;1,086340998;0,116;offset;1000;0,616
prp;0;6;2;letter_07;false_font_02;non-target;false_font;center;false_font_03;1;0,740757514;0,466;onset;1100;0,466
prp;0;6;3;letter_07;false_font_02;target;letter;center;letter_07;1;1,319521906;0,266;onset;1100;0,266
prp;0;6;4;letter_07;false_font_02;irrelevant;face;left;face_17;0,5;1,077811884;0,232;onset;1100;0,232
prp;0;6;5;letter_07;false_font_02;non-target;false_font;right;false_font_03;1;1,069448718;0;offset;1100;1
prp;0;6;6;letter_07;false_font_02;irrelevant;face;center;face_17;0,5;1,650896748;0,466;onset;1000;0,466
prp;0;6;7;letter_07;false_font_02;irrelevant;object;center;object_12;0,5;1,346520914;0;onset;1000;0
prp;0;6;8;letter_07;false_font_02;irrelevant;object;center;object_06;1,5;0,73750711;0,232;offset;1000;1,732
prp;0;6;9;letter_07;false_font_02;target;false_font;left;false_font_02;1,5;1,240526324;0,116;offset;1000;1,616
prp;0;6;10;letter_07;false_font_02;non-target;letter;center;letter_18;0,5;1,228780228;0,466;offset;1000;0,966
prp;0;6;11;letter_07;false_font_02;non-target;letter;center;letter_08;1,5;0,774984573;0,232;offset;1100;1,732
prp;0;6;12;letter_07;false_font_02;irrelevant;face;center;face_03;0,5;1,311956781;0;offset;1100;0,5
prp;0;6;13;letter_07;false_font_02;irrelevant;object;left;object_16;0,5;1,833897873;0;offset;1000;0,5
prp;0;6;14;letter_07;false_font_02;non-target;letter;right;letter_13;0,5;0,893196599;0;offset;1000;0,5
prp;0;6;15;letter_07;false_font_02;non-target;letter;center;letter_19;1,5;1,112053315;0,232;onset;1000;0,232
prp;0;6;16;letter_07;false_font_02;irrelevant;face;center;face_03;0,5;0,721173506;0,466;offset;1100;0,966
prp;0;6;17;letter_07;false_font_02;irrelevant;face;center;face_09;1;0,703916042;0,232;onset;1100;0,232
prp;0;6;18;letter_07;false_font_02;non-target;letter;right;letter_08;1,5;1,534287245;0,116;onset;1000;0,116
prp;0;6;19;letter_07;false_font_02;irrelevant;face;center;face_19;1,5;1,777813715;0,232;offset;1000;1,732
prp;0;6;20;letter_07;false_font_02;non-target;letter;right;letter_15;1,5;0,886827656;0,466;onset;1000;0,466
prp;0;6;21;letter_07;false_font_02;irrelevant;object;center;object_05;1;1,063693155;0,116;onset;1100;0,116
prp;0;6;22;letter_07;false_font_02;target;letter;right;letter_07;1,5;0,77073009;0,466;offset;1100;1,966
prp;0;6;23;letter_07;false_font_02;non-target;false_font;center;false_font_03;0,5;1,585959652;0;onset;1000;0
prp;0;6;24;letter_07;false_font_02;irrelevant;face;left;face_13;1;1,164112962;0,232;onset;1100;0,232
prp;0;6;25;letter_07;false_font_02;non-target;false_font;center;false_font_01;1;0,979545567;0,116;onset;1100;0,116
prp;0;6;26;letter_07;false_font_02;non-target;letter;center;letter_04;0,5;0,878122595;0,116;onset;1100;0,116
prp;0;6;27;letter_07;false_font_02;irrelevant;object;center;object_12;1;1,303071164;0,116;offset;1000;1,116
prp;0;6;28;letter_07;false_font_02;irrelevant;face;left;face_11;1,5;0,757089231;0,116;onset;1100;0,116
prp;0;6;29;letter_07;false_font_02;irrelevant;face;center;face_08;1;0,763212045;0;onset;1100;0
prp;0;6;30;letter_07;false_font_02;irrelevant;face;center;face_01;1,5;1,268918201;0;offset;1000;1,5
prp;0;6;31;letter_07;false_font_02;irrelevant;face;right;face_08;1;0,748670359;0,466;onset;1100;0,466
prp;0;6;32;letter_07;false_font_02;non-target;letter;center;letter_03;1;1,932513932;0,466;onset;1100;0,466
prp;0;6;33;letter_07;false_font_02;non-target;false_font;right;false_font_06;1,5;1,300569635;0,232;onset;1000;0,232
prp;0;6;34;letter_07;false_font_02;non-target;letter;center;letter_14;0,5;1,23693455;0,232;onset;1000;0,232
prp;0;6;35;letter_07;false_font_02;non-target;false_font;center;false_font_17;0,5;1,947217109;0;onset;1100;0
prp;0;7;1;face_07;object_03;non-target;face;right;face_16;1,5;0,716968521;0,466;onset;1000;0,466
prp;0;7;2;face_07;object_03;irrelevant;false_font;center;false_font_07;0,5;1,131728544;0,466;offset;1000;0,966
prp;0;7;3;face_07;object_03;non-target;face;right;face_14;1;1,821967664;0;offset;1000;1
prp;0;7;4;face_07;object_03;non-target;face;left;face_18;1;1,25125316;0;onset;1100;0
prp;0;7;5;face_07;object_03;irrelevant;letter;right;letter_02;1;1,345456263;0,466;onset;1100;0,466
prp;0;7;6;face_07;object_03;target;face;center;face_07;1,5;1,459352908;0,466;offset;1;1,966
prp;0;7;7;face_07;object_03;irrelevant;false_font;left;false_font_13;1;1,297565163;0,116;offset;1100;1,116
prp;0;7;8;face_07;object_03;target;face;center;face_07;1;0,98411854;0;onset;1100;0
prp;0;7;9;face_07;object_03;non-target;object;right;object_16;0,5;1,273523736;0;onset;1000;0
prp;0;7;10;face_07;object_03;non-target;object;left;object_17;0,5;1,229731405;0,466;offset;1000;0,966
prp;0;7;11;face_07;object_03;irrelevant;letter;center;letter_07;1,5;1,411515298;0,116;offset;1100;1,616
prp;0;7;12;face_07;object_03;irrelevant;letter;left;letter_04;0,5;1,417835807;0;offset;1000;0,5
prp;0;7;13;face_07;object_03;irrelevant;false_font;right;false_font_13;1,5;0,811005611;0,116;offset;1000;1,616
prp;0;7;14;face_07;object_03;non-target;object;right;object_02;0,5;0,934169972;0,466;offset;1000;0,966
prp;0;7;15;face_07;object_03;non-target;object;right;object_14;1,5;1,061620346;0;onset;1100;0
prp;0;7;16;face_07;object_03;irrelevant;false_font;right;false_font_02;0,5;1,266375809;0,466;onset;1000;0,466
prp;0;7;17;face_07;object_03;irrelevant;letter;center;letter_07;0,5;0,970884024;0;onset;1000;0
prp;0;7;18;face_07;object_03;irrelevant;false_font;left;false_font_10;1;1,595968821;0,466;offset;1000;1,466
prp;0;7;19;face_07;object_03;non-target;face;center;face_13;0,5;0,90241127;0,116;onset;1000;0,116
prp;0;7;20;face_07;object_03;non-target;face;left;face_13;1,5;1,92274756;0,232;offset;1100;1,732
prp;0;7;21;face_07;object_03;non-target;object;center;object_11;0,5;1,114800024;0,466;offset;1100;0,966
prp;0;7;22;face_07;object_03;irrelevant;letter;center;letter_03;1;0,974192317;0,232;offset;1000;1,232
prp;0;7;23;face_07;object_03;irrelevant;letter;right;letter_02;0,5;1,344594876;0,116;onset;1000;0,116
prp;0;7;24;face_07;object_03;target;object;center;object_03;0,5;1,277658173;0,266;onset;1100;0,266
prp;0;7;25;face_07;object_03;non-target;face;right;face_16;1;1,538937059;0,116;offset;1000;1,116
prp;0;7;26;face_07;object_03;target;object;center;object_03;0,5;1,639042237;0;onset;1100;0
prp;0;7;27;face_07;object_03;target;face;center;face_07;1;0,77298021;0;offset;1100;1
