real_dur;target_dur; dur_diff ;real_SOA;target_SOA;SOA_diff;trial_dur;trial_dur_plus_jitter
1,00691234;1; 0,0069123 ;1,462618121;1,466;-0,003381879;2,006880993;3,049638421
0,506935534;0,5; 0,0069355 ;0,001344199;0;0,001344199;2,006889098;3,351187299
1,506894815;1,5; 0,0068948 ;1,962603015;1,966;-0,003396985;2,006883251;3,702842315
1,506895151;1,5; 0,0068952 ;0,462642415;0,466;-0,003357585;2,006908258;2,938892015
1,006920898;1; 0,0069209 ;1,462612208;1,466;-0,003387792;2,00688912;3,174850508
1,506923258;1,5; 0,0069233 ;1,496727721;1,5;-0,003272279;2,0069212;2,929588921
1,5069012;1,5; 0,0069012 ;1,962623364;1,966;-0,003376636;2,006889436;3,078321164
1,506896993;1,5; 0,0068970 ;0,228820357;0,232;-0,003179643;2,006910913;3,009797857
1,506896038;1,5; 0,0068960 ;1,49684691;1,5;-0,00315309;2,006855711;2,84027151
1,006915834;1; 0,0069158 ;0,228812361;0,232;-0,003187639;2,006880762;3,231945661
0,500014766;0,5; 0,0000148 ;0,228679679;0,232;-0,003320321;2,006888151;3,358242379
1,006918382;1; 0,0069184 ;0,001396599;0;0,001396599;2,006888142;2,782231099
1,499952489;1,5;-0,0000475 ;1,612621092;1,616;-0,003378908;2,006887442;2,898211092
0,506928215;0,5; 0,0069282 ;0,22861075;0,232;-0,00338925;2,006884229;3,82999915
0,506904558;0,5; 0,0069046 ;0,496583421;0,5;-0,003416579;2,006855064;3,020246321
0,506926324;0,5; 0,0069263 ;0,962576052;0,966;-0,003423948;2,006877653;3,162821752
1,499955009;1,5;-0,0000450 ;1,728613186;1,732;-0,003386814;1,999943544;2,883864486
0,506953351;0,5; 0,0069534 ;0,11271615;0,116;-0,00328385;1,999938604;2,72957655
1,00694402;1; 0,0069440 ;1,228589141;1,232;-0,003410859;1,9999783;3,313903741
1,006909634;1; 0,0069096 ;1,462708386;1,466;-0,003291614;1,999943723;3,955803886
1,006912182;1; 0,0069122 ;0,996629257;1;-0,003370743;2,006860505;2,989511657
1,006908985;1; 0,0069090 ;1,228727628;1,232;-0,003272372;2,0068821;3,244202828
0,506904707;0,5; 0,0069047 ;0,496652135;0,5;-0,003347865;1,999914078;3,140438235
1,506865015;1,5; 0,0068650 ;1,496647943;1,5;-0,003352057;2,006851644;3,219884043
0,999975178;1;-0,0000248 ;0,112601621;0,116;-0,003398379;2,00689074;2,794109321
0,999965402;1;-0,0000346 ;0,462644415;0,466;-0,003355585;1,99993814;2,993655415
1,006943431;1; 0,0069434 ;0,462674506;0,466;-0,003325494;1,99994923;2,720108106
0,506928436;0,5; 0,0069284 ;0,728680435;0,732;-0,003319565;1,999936915;2,744854535
0,50689578;0,5; 0,0068958 ;0,962669001;0,966;-0,003330999;2,006848273;3,492988201
1,506908196;1,5; 0,0069082 ;0,003115382;0;0,003115382;2,006859154;3,534657182
1,506867458;1,5; 0,0068675 ;0,112670557;0,116;-0,003329443;2,006854887;2,969174357
0,9999648;1;-0,0000352 ;0,462606915;0,466;-0,003393085;2,006883762;3,386060715
0,999970522;1;-0,0000295 ;0,11270397;0,116;-0,00329603;2,006880836;3,55636477
1,5069003;1,5; 0,0069003 ;0,001408999;0;0,001408999;1,999940602;2,832359399
1,006916282;1; 0,0069163 ;0,001304899;0;0,001304899;2,006883671;3,422651499
0,5069053;0,5; 0,0069053 ;0,962784228;0,966;-0,003215772;2,006856564;3,422936528
0,499985193;0,5;-0,0000148 ;0,462671212;0,466;-0,003328788;2,006888249;3,199973312
0,499984709;0,5;-0,0000153 ;0,61274625;0,616;-0,00325375;2,006881751;2,93595285
1,499953046;1,5;-0,0000470 ;0,22862387;0,232;-0,00337613;2,006915713;2,71263347
0,499980544;0,5;-0,0000195 ;0,462628592;0,466;-0,003371408;2,0068821;3,936952292
1,006892293;1; 0,0068923 ;1,228680892;1,232;-0,003319108;2,0068898;2,888826992
1,506870593;1,5; 0,0068706 ;0,462745821;0,466;-0,003254179;2,006853293;2,772573821
1,00691864;1; 0,0069186 ;0,462583157;0,466;-0,003416843;1,999940358;3,882677457
1,006880764;1; 0,0068808 ;0,996633792;1;-0,003366208;2,006849158;3,636205492
1,506902213;1,5; 0,0069022 ;0,112673212;0,116;-0,003326788;2,006883549;3,124457812
1,506928249;1,5; 0,0069282 ;1,49657447;1,5;-0,00342553;2,006911249;3,12651727
0,999968709;1;-0,0000313 ;1,462755943;1,466;-0,003244057;1,999912073;3,472989143
1,006886222;1; 0,0068862 ;0,996724315;1;-0,003275685;2,006856344;2,757916715
1,499957298;1,5;-0,0000427 ;1,962760835;1,966;-0,003239165;1,999940691;3,000244535
0,499954751;0,5;-0,0000452 ;0,962665892;0,966;-0,003334108;1,99991134;3,365532792
1,00694716;1; 0,0069472 ;1,463733899;1,466;-0,002266101;1,999947369;2,971408299
1,506897215;1,5; 0,0068972 ;1,962754966;1,966;-0,003245034;1,999963926;3,643831366
1,499956136;1,5;-0,0000439 ;0,11265057;0,116;-0,00334943;1,999940715;3,44011357
1,506902836;1,5; 0,0069028 ;0,228686735;0,232;-0,003313265;2,006884;3,462254735
1,006913605;1; 0,0069136 ;0,996670957;1;-0,003329043;2,006882987;2,899123757
1,006921485;1; 0,0069215 ;0,996696821;1;-0,003303179;2,006886887;2,861067821
0,999971858;1;-0,0000281 ;1,228766841;1,232;-0,003233159;1,999934551;3,757675241
0,506928742;0,5; 0,0069287 ;0,46263707;0,466;-0,00336293;2,006883071;3,30358097
1,00692004;1; 0,0069200 ;0,46259507;0,466;-0,00340493;1,99994198;3,83252297
1,506928478;1,5; 0,0069285 ;1,728766999;1,732;-0,003233001;2,006878864;2,877842399
0,999938413;1;-0,0000616 ;1,228759979;1,232;-0,003240021;1,999910936;3,524154879
1,506897829;1,5; 0,0068978 ;1,496615592;1,5;-0,003384408;2,006876351;3,220895392
0,999969487;1;-0,0000305 ;0,462687235;0,466;-0,003312765;2,006883705;2,906844335
0,506905093;0,5; 0,0069051 ;0,728598221;0,732;-0,003401779;2,006860822;2,860239521
1,506923331;1,5; 0,0069233 ;1,962628523;1,966;-0,003371477;1,999932264;3,635612123
0,506924978;0,5; 0,0069250 ;0,001448664;0;0,001448664;2,006879136;3,256429364
0,499981404;0,5;-0,0000186 ;0,962733306;0,966;-0,003266694;2,006887042;3,499460706
1,5069303;1,5; 0,0069303 ;1,612790221;1,616;-0,003209779;2,006881193;3,514313221
1,006888176;1; 0,0068882 ;1,462764064;1,466;-0,003235936;2,006858305;2,876491564
1,499957869;1,5;-0,0000421 ;0,228673188;0,232;-0,003326812;2,006883867;2,825205588
0,499953466;0,5;-0,0000465 ;0,612592486;0,616;-0,003407514;1,999908482;2,923465686
0,506932536;0,5; 0,0069325 ;0,962709899;0,966;-0,003290101;2,006889564;2,904778999
0,506900515;0,5; 0,0069005 ;0,001280079;0;0,001280079;1,999939297;3,404450679
1,006916493;1; 0,0069165 ;0,001298886;0;0,001298886;2,006884658;2,901276786
1,006887505;1; 0,0068875 ;1,22877735;1,232;-0,00322265;2,006855456;2,89773675
0,506958193;0,5; 0,0069582 ;0,728634108;0,732;-0,003365892;1,999941727;3,083487408
1,006919447;1; 0,0069194 ;0,996691828;1;-0,003308172;1,999939136;3,927058528
1,006915491;1; 0,0069155 ;0,996592399;1;-0,003407601;1,999965824;3,110176399
1,506893871;1,5; 0,0068939 ;0,112644999;0,116;-0,003355001;1,999935744;3,091928799
1,006913354;1; 0,0069134 ;0,228698492;0,232;-0,003301508;2,00688584;3,374160592
